,ID,Is Library,Duplicated Count,Name Manual,Name Normalized - No Space,Name with Owner,Stars Count,Description,Keywords,URL,Homepage URL,Host Type,Fork,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Size,Language,Issues enabled,Wiki enabled,Pages enabled,Forks Count,Mirror URL,Open Issues Count,Default branch,Watchers Count,UUID,Fork Source Name with Owner,License,Contributors Count,Readme filename,Changelog filename,Contributing guidelines filename,License filename,Code of Conduct filename,Security Threat Model filename,Security Audit filename,Status,Last Synced Timestamp,SourceRank,Display Name,Dummy,SCM type,Pull requests enabled,Logo URL,Name,Owner,Name Normalized,Host Repo IDs
455,34447612,y,1,,tuna,MaxHalford/tuna,11.0,:fish: A streaming ETL for fish,"etl,feature-extraction,go,golang,large-dataset,machine-learning,online-algorithms,stream,stream-processing",https://github.com/MaxHalford/tuna,https://godoc.org/github.com/MaxHalford/tuna/,GitHub,False,2018-03-22 07:35:37 UTC,2019-04-22 01:37:36 UTC,2019-01-24 14:11:54 UTC,77.0,Go,True,True,False,2.0,,0.0,master,1.0,126297206,,MIT,0,,,,,,,,,2018-03-22 07:37:20 UTC,5,GitHub,,git,,,tuna,MaxHalford,tuna,34447612
456,35774700,y,1,,translate,pytorch/translate,534.0,Translate - a PyTorch Language Library,"artificial-intelligence,machine-learning,onnx,pytorch",https://github.com/pytorch/translate,,GitHub,False,2018-04-24 16:44:04 UTC,2019-10-12 18:17:12 UTC,2019-10-11 21:30:04 UTC,2295.0,Python,True,True,False,115.0,,48.0,master,39.0,130885307,,BSD-3-Clause,49,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2019-10-12 18:17:12 UTC,8,GitHub,,git,,,translate,pytorch,translate,35774700
457,37910205,y,1,,training,cloud-annotations/training,2425.0,🐝 Custom Object Detection and Classification Training,"machine-learning,tensorflow,training",https://github.com/cloud-annotations/training,,GitHub,False,2019-01-29 14:52:41 UTC,2019-12-29 06:17:41 UTC,2019-12-29 06:12:37 UTC,29379.0,Go,True,True,True,463.0,,24.0,master,112.0,168172167,,MIT,3,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-11-20 14:10:32 UTC,6,GitHub,,git,,,training,cloud-annotations,training,37910205
459,3229341,y,1,,tpot,EpistasisLab/tpot,6615.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,"automated-machine-learning,automation,automl,data-science,feature-engineering,gradient-boosting,hyperparameter-optimization,machine-learning,model-selection,parameter-tuning,python,random-forest,scikit-learn,xgboost",https://github.com/EpistasisLab/tpot,http://epistasislab.github.io/tpot/,GitHub,False,2015-11-03 21:08:40 UTC,2020-01-03 18:59:21 UTC,2020-01-03 18:04:20 UTC,6660.0,Python,True,True,True,1165.0,,132.0,master,305.0,45495679,,LGPL-3.0,56,README.md,,docs/contributing/index.html,LICENSE,,,,,2020-01-03 18:59:21 UTC,12,GitHub,,git,,,tpot,EpistasisLab,tpot,3229341
461,8342728,y,1,,toolbox,amidst/toolbox,71.0,A Java Toolbox for Scalable Probabilistic Machine Learning,"bayesian-methods,bayesian-networks,data-science,graphical-models,latent-variable-models,machine-learning,streaming-data",https://github.com/amidst/toolbox,http://amidsttoolbox.com/,GitHub,False,2014-04-01 08:32:35 UTC,2017-10-27 09:41:13 UTC,2017-09-15 13:59:13 UTC,404663.0,Java,True,True,True,26.0,,37.0,master,19.0,18322758,,Other,10,README.md,CHANGELOG.md,,LICENSE.txt,,,,,2016-05-27 14:20:25 UTC,8,GitHub,,git,,,toolbox,amidst,toolbox,8342728
462,18883759,y,1,,tnt,pytorch/tnt,1030.0,"Simple tools for logging and visualizing, loading and training","deep-learning,machine-learning,neural-network,python,pytorch,reinforcement-learning,visdom",https://github.com/pytorch/tnt,,GitHub,False,2016-12-10 11:49:58 UTC,2019-10-12 18:17:02 UTC,2019-09-10 07:54:42 UTC,542.0,Python,True,True,False,145.0,,25.0,master,43.0,76109394,,BSD-3-Clause,26,README.md,,,LICENSE,,,,,2019-10-12 18:17:02 UTC,8,GitHub,,git,,,tnt,pytorch,tnt,18883759
463,40379788,y,1,,timeseries,zhykoties/TimeSeries,28.0,Implementation of deep learning models for time series in PyTorch.,,https://github.com/zhykoties/TimeSeries,,GitHub,False,2019-08-05 19:59:24 UTC,2019-11-13 01:34:57 UTC,2019-11-01 08:54:06 UTC,1382.0,Python,True,True,True,8.0,,4.0,master,5.0,200720411,,Apache-2.0,1,README.md,,,LICENSE,,,,,2019-11-13 01:34:57 UTC,4,GitHub,,git,,,TimeSeries,zhykoties,timeseries,40379788
464,38892330,y,1,,timecop,BBVA/timecop,33.0,Time series based anomaly detector,"anomaly-detection,forecast,lstm,machine-learning,timeseries",https://github.com/BBVA/timecop,,GitHub,False,2018-07-23 12:08:55 UTC,2019-05-13 23:09:20 UTC,2019-02-05 13:51:58 UTC,48657.0,Python,True,True,False,9.0,,5.0,master,2.0,142009088,,Apache-2.0,5,README.md,,,LICENSE,,,,,2019-05-13 23:09:20 UTC,5,GitHub,,git,,,timecop,BBVA,timecop,38892330
465,3937010,y,1,,timbl,LanguageMachines/timbl,19.0,TiMBL implements several memory-based learning algorithms.,"c-plus-plus,classification,decision-tree,ib1,igtree,k-nearest-neighbours,knn,learning-algorithm,machine-learning,nearest-neighbours,timbl",https://github.com/LanguageMachines/timbl,https://languagemachines.github.io/timbl/,GitHub,False,2014-06-05 13:34:19 UTC,2017-11-24 20:00:34 UTC,2017-11-14 12:42:40 UTC,9296.0,C++,True,True,True,4.0,,3.0,master,6.0,20526237,,GPL-3.0,2,README,,,,,,,,2017-11-24 20:00:34 UTC,6,GitHub,,git,,,timbl,LanguageMachines,timbl,3937010
466,16600463,y,1,,tick,X-DataInitiative/tick,250.0,"Module for statistical learning, with a particular emphasis on time-dependent modelling","machine-learning,modelling,optimization,point-process,python,statistics",https://github.com/X-DataInitiative/tick,https://x-datainitiative.github.io/tick/,GitHub,False,2016-12-01 10:59:08 UTC,2019-11-15 10:32:33 UTC,2019-11-08 08:47:09 UTC,45600.0,Python,True,False,True,50.0,,36.0,master,33.0,75284069,,BSD-3-Clause,12,README.md,,CONTRIBUTING.md,LICENSE.txt,,,,,2019-09-11 09:14:31 UTC,8,GitHub,,git,,,tick,X-DataInitiative,tick,16600463
467,39750588,y,1,,thor,jinfagang/thor,72.0,"thor: C++ helper library, for deep learning purpose","computer-vision,deeplearning,object-detection,tracking",https://github.com/jinfagang/thor,,GitHub,False,2019-01-10 08:12:01 UTC,2019-10-28 01:50:40 UTC,2019-09-25 15:00:12 UTC,2616.0,C++,True,True,False,10.0,,1.0,master,3.0,165018426,,Other,2,README.md,,,LICENSE,,,,,2019-10-28 01:50:40 UTC,6,GitHub,,git,,,thor,jinfagang,thor,39750588
468,20538253,y,1,,thinker,tinybike/thinker,6.0,Logistic-function neural network,,https://github.com/tinybike/thinker,,GitHub,False,2012-11-06 22:13:00 UTC,2017-02-20 15:19:33 UTC,2015-01-24 08:40:59 UTC,236.0,C++,True,True,False,3.0,,0.0,master,,6570432,,,1,README.md,,,LICENSE,,,,,2017-02-20 14:33:32 UTC,3,GitHub,,,,,thinker,tinybike,thinker,20538253
469,30532684,y,1,,tgan,pfnet-research/tgan,36.0,The implementation of Temporal Generative Adversarial Nets with Singular Value Clipping,"deep-learning,generative-adversarial-network,machine-learning,neural-networks,python",https://github.com/pfnet-research/tgan,https://pfnet-research.github.io/tgan/,GitHub,False,2017-10-05 07:14:35 UTC,2018-10-15 13:35:26 UTC,2017-10-06 06:54:42 UTC,17103.0,Python,True,True,True,18.0,,7.0,master,12.0,105860031,,MIT,3,README.md,,,LICENSE.md,,,,,2017-11-28 11:55:52 UTC,6,GitHub,,git,,,tgan,pfnet-research,tgan,30532684
470,40235895,y,1,,tf2,TF2-Engine/TF2,26.0,An Open Source Deep Learning Inference Engine Based on FPGA,"cnn,deep-learning,dnn,fpga,inference,model-compression,model-pruning,opencl,quantization",https://github.com/TF2-Engine/TF2,,GitHub,False,2019-08-27 01:17:14 UTC,2019-11-01 02:13:01 UTC,2019-10-21 04:00:08 UTC,18937.0,C,True,True,False,12.0,,4.0,master,7.0,204591668,,Apache-2.0,1,README.md,,,LICENSE,,,,,2019-11-08 08:13:48 UTC,4,GitHub,,git,,,TF2,TF2-Engine,tf2,40235895
471,19086591,y,1,,textanalytics,shamitb/text_analytics,5.0,Different APIs for text analytics and SEMANTIC ANALYSIS using machine learning,,https://github.com/shamitb/text_analytics,,GitHub,False,2017-01-13 15:40:00 UTC,2018-03-16 20:57:34 UTC,2017-01-15 22:30:20 UTC,24.0,Python,True,True,False,5.0,,0.0,master,1.0,78862284,,GPL-3.0,0,,,,,,,,,2017-01-22 17:55:55 UTC,3,GitHub,,git,,,text_analytics,shamitb,text analytics,19086591
472,18883762,y,1,,text,pytorch/text,1969.0,Data loaders and abstractions for text and NLP,"data-loader,dataset,deep-learning,nlp,pytorch",https://github.com/pytorch/text,,GitHub,False,2016-12-12 00:56:03 UTC,2019-10-12 18:17:22 UTC,2019-10-10 16:22:53 UTC,9167.0,Python,True,True,True,459.0,,132.0,master,141.0,76210069,,BSD-3-Clause,78,README.rst,,,LICENSE,,,,,2019-10-12 18:17:22 UTC,10,GitHub,,git,,,text,pytorch,text,18883762
474,852560,y,1,,tesseract,tesseract-ocr/tesseract,32078.0,Tesseract Open Source OCR Engine (main repository),"lstm,machine-learning,ocr,ocr-engine,tesseract,tesseract-ocr",https://github.com/tesseract-ocr/tesseract,,GitHub,False,2014-08-12 18:04:59 UTC,2019-12-27 02:31:22 UTC,2019-12-26 15:42:01 UTC,45733.0,C++,True,True,False,6055.0,,260.0,master,1597.0,22887094,,Apache-2.0,62,README.md,ChangeLog,CONTRIBUTING.md,LICENSE,,,,,2016-11-24 16:28:50 UTC,9,GitHub,,git,,,tesseract,tesseract-ocr,tesseract,852560
475,22096992,y,1,,tensorforce,tensorforce/tensorforce,2529.0,Tensorforce: a TensorFlow library for applied reinforcement learning,"control,deep-reinforcement-learning,reinforcement-learning,system-control,tensorflow,tensorflow-library,tensorforce",https://github.com/tensorforce/tensorforce,,GitHub,False,2017-03-19 16:24:22 UTC,2019-12-26 18:30:25 UTC,2019-12-23 15:37:27 UTC,19816.0,Python,True,True,False,436.0,,6.0,master,145.0,85491050,,Apache-2.0,54,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-12-26 18:30:25 UTC,9,GitHub,,git,,,tensorforce,tensorforce,tensorforce,22096992
476,29625088,y,1,,tensorflowobjectdetection,sozercan/tensorflow-object-detection,10.0,📦 Operationalizing TensorFlow Object Detection on Azure,"azure,docker,machine-learning,tensorflow,tensorflow-object-detection-api,tensorflow-serving",https://github.com/sozercan/tensorflow-object-detection,,GitHub,False,2017-10-19 18:00:46 UTC,2018-02-27 17:30:33 UTC,2018-01-12 20:07:51 UTC,267.0,Python,True,True,False,6.0,,1.0,master,1.0,107580886,,MIT,1,README.md,,,LICENSE,,,,,2017-10-19 20:14:56 UTC,4,GitHub,,git,,,tensorflow-object-detection,sozercan,tensorflow object detection,29625088
478,16942998,y,1,,tensorboard,dmlc/tensorboard,339.0,Standalone TensorBoard for visualizing in deep learning,"mxnet,tensorboard,visualization",https://github.com/dmlc/tensorboard,,GitHub,False,2016-12-10 20:53:38 UTC,2019-04-29 20:54:37 UTC,2018-04-27 01:29:12 UTC,116.0,Python,True,True,False,54.0,,18.0,master,26.0,76137118,,Apache-2.0,5,README.md,,,LICENSE,,,,,2018-02-06 04:24:24 UTC,7,GitHub,,git,,,tensorboard,dmlc,tensorboard,16942998
479,28814138,y,1,,tensor,gorgonia/tensor,122.0,package tensor provides efficient and generic n-dimensional arrays in Go that are useful for machine learning and deep learning purposes,"deep-learning,golang,machine-learning,multidimensional-arrays,ndarray,tensor",https://github.com/gorgonia/tensor,,GitHub,False,2017-09-17 12:59:59 UTC,2019-10-11 01:42:05 UTC,2019-09-05 00:31:04 UTC,511.0,Go,True,True,False,15.0,,18.0,master,15.0,103829042,,Other,1,README.md,,,,,,,,2017-09-17 21:54:10 UTC,7,GitHub,,git,,,tensor,gorgonia,tensor,28814138
480,26585611,y,1,,telemetry,cisco-ie/telemetry,42.0,"Open-source datasets for anyone interested in working with network anomaly based machine learning, data science and research","auto-remediation,automation,behavior-analysis,data-science,deep-learning,machine-learning,machinelearning,network-analysis,network-automation,network-monitoring",https://github.com/cisco-ie/telemetry,https://github.com/cisco-ie/telemetry/,GitHub,False,2017-07-27 01:17:46 UTC,2018-11-15 21:53:24 UTC,2018-07-26 23:52:47 UTC,441678.0,,True,True,False,19.0,,1.0,master,28.0,98479695,,Other,0,,,,,,,,,2017-07-27 01:33:01 UTC,6,GitHub,,git,,,telemetry,cisco-ie,telemetry,26585611
481,37155161,y,1,,td,for-ai/TD,131.0,Complementary code for the Targeted Dropout paper,"deep-learning,dropout,targeted-dropout,tensorflow",https://github.com/for-ai/TD,,GitHub,False,2018-10-17 02:45:48 UTC,2019-01-01 13:01:06 UTC,2018-12-02 22:19:44 UTC,64.0,Python,True,True,False,25.0,,0.0,master,5.0,153385623,,,2,README.md,,,,,,,,2018-11-26 06:16:40 UTC,4,GitHub,,git,,,TD,for-ai,td,37155161
482,39467979,y,1,,taso,jiazhihao/TASO,86.0,A Tensor Algebra SuperOptimizer for Deep Learning,"deep-learning,deep-neural-networks,inference-optimization",https://github.com/jiazhihao/TASO,,GitHub,False,2019-09-28 01:24:21 UTC,2019-11-06 07:05:29 UTC,2019-11-02 07:03:50 UTC,1238.0,C++,True,True,False,9.0,,8.0,master,10.0,211426129,,Apache-2.0,7,README.md,,,LICENSE,,,,,2019-10-23 21:48:12 UTC,5,GitHub,,git,,,TASO,jiazhihao,taso,39467979
483,40775741,y,1,,tape,songlab-cal/tape,40.0,"Tasks Assessing Protein Embeddings (TAPE), a set of five biologically relevant semi-supervised learning tasks spread across different domains of protein biology.","benchmark,dataset,deep-learning,language-modeling,protein-sequences,protein-structure,pytorch,semi-supervised-learning",https://github.com/songlab-cal/tape,https://biorxiv.org/content/10.1101/676825v1/,GitHub,False,2019-12-09 06:02:49 UTC,2019-12-28 20:44:28 UTC,2019-12-28 20:42:55 UTC,831.0,Python,True,True,False,4.0,,4.0,master,5.0,226796593,,BSD-3-Clause,2,README.md,,,LICENSE,,,,,2019-12-28 20:44:27 UTC,6,GitHub,,git,,,tape,songlab-cal,tape,40775741
484,35863303,y,1,,talos,autonomio/talos,1068.0,Hyperparameter Optimization for Keras Models,"artificial-intelligence,deep-learning,hyperparameter-optimization,keras,keras-tensorflow",https://github.com/autonomio/talos,,GitHub,False,2018-05-04 20:36:41 UTC,2019-11-21 19:25:12 UTC,2019-11-06 20:48:18 UTC,1049.0,Python,True,True,True,172.0,,31.0,master,33.0,132186783,,MIT,1,README.md,,,LICENSE,,,,,2018-05-05 03:41:09 UTC,7,GitHub,,git,,,talos,autonomio,talos,35863303
485,40103947,y,1,,tabnet,dreamquark-ai/tabnet,21.0,PyTorch implementation of TabNet paper,"deep-neural-networks,machine-learning-library,pytorch,pytorch-tabnet,research-paper,tabnet,tabular-data",https://github.com/dreamquark-ai/tabnet,https://arxiv.org/pdf/1908.07442.pdf/,GitHub,False,2019-10-17 11:17:32 UTC,2019-12-03 11:41:43 UTC,2019-12-03 11:41:37 UTC,168.0,Python,True,True,False,3.0,,14.0,develop,9.0,215773948,,MIT,5,README.md,CHANGELOG.md,,LICENSE,,,,,2019-12-03 11:41:43 UTC,5,GitHub,,git,,,tabnet,dreamquark-ai,tabnet,40103947
486,11176034,y,1,,synthetic,ai4socialscience/synthetic,15.0,Symbolic Generators for Complex Networks,"artificial-intelligence,bioinformatics,biology,complex-networks,complex-systems,complexity-analysis,computational-social-science,computational-sociology,evolutionary-algorithms,evolutionary-computation,genetic-programming,graph-algorithms,graphs,machine-learning,networks,neuroscience,python,science-research,sociology",https://github.com/ai4socialscience/synthetic,,GitHub,False,2011-03-11 13:05:20 UTC,2018-12-15 17:53:12 UTC,2018-12-15 17:53:11 UTC,20512.0,Python,True,False,True,2.0,,0.0,master,3.0,1467912,,MIT,1,README.textile,,,,,,,,2016-06-22 13:35:11 UTC,5,GitHub,,git,,,synthetic,ai4socialscience,synthetic,11176034
487,21077031,y,1,,synth,AI-Now/Synth,7.0,"A synthetic intelligence is our name for a truly general, human-level artificial intelligence.",,https://github.com/AI-Now/Synth,,GitHub,False,2014-05-18 23:03:00 UTC,2018-08-29 13:29:19 UTC,2014-07-15 22:03:41 UTC,161.0,C,True,True,False,3.0,,0.0,master,3.0,19923154,,MIT,1,t,f,f,t,f,f,f,,2017-02-26 12:50:10 UTC,4,GitHub,,git,,,Synth,AI-Now,synth,21077031
488,155906,y,1,,synaptic,cazala/synaptic,6497.0,architecture-free neural network library for node.js and the browser,,https://github.com/cazala/synaptic,http://caza.la/synaptic/,GitHub,False,2014-09-30 18:07:03 UTC,2019-04-24 22:59:10 UTC,2019-02-14 15:08:30 UTC,4066.0,JavaScript,True,True,True,671.0,,160.0,master,315.0,24649388,,Other,32,README.md,,,LICENSE,,,,,2017-10-22 02:03:22 UTC,13,GitHub,,git,,,synaptic,cazala,synaptic,155906
489,38284244,y,1,,susi,felixriese/susi,12.0,"SUSI: Python package for unsupervised, supervised and semi-supervised self-organizing maps (SOM)","data-science,machine-learning,opensource,pypi-package,python,self-organizing-map,semi-supervised-learning,som,sphinx-doc,supervised-learning,unsupervised-learning",https://github.com/felixriese/susi,,GitHub,False,2019-03-26 15:25:38 UTC,2019-11-28 10:07:13 UTC,2019-11-28 10:04:42 UTC,2595.0,Python,True,True,False,3.0,,0.0,master,2.0,177816419,,BSD-3-Clause,1,README.rst,CHANGELOG.rst,,LICENSE,,,,,2019-11-28 10:07:13 UTC,5,GitHub,,git,,,susi,felixriese,susi,38284244
490,35695530,y,1,,sum,evilsocket/sum,55.0,A specialized database server for linear algebra and machine learning.,,https://github.com/evilsocket/sum,,GitHub,False,2018-04-18 13:24:22 UTC,2019-10-03 14:25:26 UTC,2019-05-27 09:53:58 UTC,1287.0,Go,True,True,False,3.0,,0.0,master,5.0,130066103,,GPL-3.0,2,README.md,,,LICENSE,,,,,2018-04-30 22:39:45 UTC,3,GitHub,,git,,,sum,evilsocket,sum,35695530
492,39653191,y,1,,submarine,apache/submarine,113.0,Submarine is Cloud Native Machine Learning Platform.,"ai,deep-learning,docker,kubernetes,machine-learning,notebook,yarn",https://github.com/apache/submarine,https://submarine.apache.org/,GitHub,False,2019-09-19 04:00:17 UTC,2019-12-18 07:19:39 UTC,2019-12-17 14:00:02 UTC,6992.0,Java,True,True,False,45.0,,5.0,master,29.0,209459144,,Apache-2.0,12,README.md,,,LICENSE,,,,,2019-10-25 06:38:18 UTC,6,GitHub,,git,,,submarine,apache,submarine,39653191
493,33186102,y,1,,storages,thoth-station/storages,5.0,Storage and database adapters for project Thoth,"artificial-intelligence,knowledge-graph,postgresql,thoth",https://github.com/thoth-station/storages,https://thoth-station.github.io/,GitHub,False,2018-02-21 12:01:36 UTC,2020-01-10 19:41:32 UTC,2020-01-10 19:25:19 UTC,10366.0,Python,True,False,False,10.0,,27.0,master,10.0,122330981,,GPL-3.0,28,README.rst,CHANGELOG.md,,LICENSE,,,,,2020-01-06 15:39:48 UTC,7,GitHub,,git,,,storages,thoth-station,storages,33186102
494,32858101,y,1,,stellar,data61/stellar,7.0,Machine Learning for Graphs,,https://github.com/data61/stellar,,GitHub,False,2017-11-16 00:41:49 UTC,2018-05-14 23:59:03 UTC,2018-04-20 03:43:43 UTC,435.0,Shell,True,True,False,0.0,,1.0,master,10.0,110903559,,Apache-2.0,1,README.md,,,LICENSE,,,,,2018-02-13 08:38:31 UTC,4,GitHub,,git,,,stellar,data61,stellar,32858101
496,41084827,y,1,,starfish,xwen99/starfish,5.0,"A Chinese cheese engine written in C++, final project of Spring 2019 Artificial Intelligence at Tongji Univ.",,https://github.com/xwen99/starfish,,GitHub,False,2019-05-09 10:36:57 UTC,2019-12-26 13:08:36 UTC,2019-06-05 08:23:38 UTC,2234.0,C,True,True,False,0.0,,0.0,master,0.0,185779167,,LGPL-2.1,4,README.md,,,LICENSE,,,,,2019-12-26 13:08:36 UTC,4,GitHub,,git,,,starfish,xwen99,starfish,41084827
497,37860773,y,1,,stanfordnlp,stanfordnlp/stanfordnlp,2597.0,Official Stanford NLP Python Library for Many Human Languages,"artificial-intelligence,deep-learning,machine-learning,natural-language-processing,nlp,python,pytorch,universal-dependencies",https://github.com/stanfordnlp/stanfordnlp,https://stanfordnlp.github.io/stanfordnlp/,GitHub,False,2017-09-26 08:00:56 UTC,2019-11-21 12:00:07 UTC,2019-11-19 20:30:05 UTC,3274.0,Python,True,True,True,333.0,,31.0,master,99.0,104854615,,Other,13,README.md,,,LICENSE,,,,,2019-05-16 08:14:52 UTC,9,GitHub,,git,,,stanfordnlp,stanfordnlp,stanfordnlp,37860773
498,40358898,y,1,,ssg,OasisYang/SSG,81.0,"Self-similarity Grouping: A Simple Unsupervised Cross Domain Adaptation Approach for Person Re-identification, ICCV 2019 (Oral)","computer-vision,deep-learning,domain-adaptation,person-reidentification",https://github.com/OasisYang/SSG,,GitHub,False,2019-08-03 23:54:00 UTC,2019-11-12 10:50:45 UTC,2019-11-04 01:34:37 UTC,1977.0,Python,True,True,False,10.0,,13.0,master,3.0,200431310,,,1,README.md,,,,,,,,2019-11-12 10:50:44 UTC,4,GitHub,,git,,,SSG,OasisYang,ssg,40358898
499,39504088,y,1,,sru,asappresearch/sru,1711.0,Training RNNs as Fast as CNNs (https://arxiv.org/abs/1709.02755),"deep-learning,nlp,pytorch,recurrent-neural-networks",https://github.com/asappresearch/sru,,GitHub,False,2017-08-28 20:37:41 UTC,2019-10-24 06:59:10 UTC,2019-10-24 06:40:22 UTC,606.0,Python,True,True,False,267.0,,38.0,master,72.0,101685663,,MIT,14,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-10-24 06:59:10 UTC,7,GitHub,,git,,,sru,asappresearch,sru,39504088
500,7267315,y,1,,squirrel,alexanderrichard/squirrel,29.0,An open source deep learning action recognition and segmentation framework,,https://github.com/alexanderrichard/squirrel,,GitHub,False,2016-03-23 12:35:41 UTC,2018-03-23 14:15:45 UTC,2017-08-11 15:29:53 UTC,52988.0,C++,True,True,False,15.0,,0.0,master,4.0,54558468,,Other,1,README.md,,,LICENSE,,,,,2017-11-25 04:26:38 UTC,4,GitHub,,git,,,squirrel,alexanderrichard,squirrel,7267315
501,25461407,y,1,,spotlight,maciejkula/spotlight,1976.0,Deep recommender models using PyTorch.,"deep-learning,learning-to-rank,machine-learning,matrix-factorization,python,pytorch,recommender-system",https://github.com/maciejkula/spotlight,,GitHub,False,2017-06-25 18:52:19 UTC,2019-12-31 10:36:28 UTC,2019-09-08 10:30:13 UTC,9099.0,Python,True,True,True,304.0,,58.0,master,106.0,95379459,,MIT,0,,,,,,,,,2017-06-25 18:53:27 UTC,6,GitHub,,git,,,spotlight,maciejkula,spotlight,25461407
502,40832764,y,1,,splitter,benedekrozemberczki/Splitter,137.0,"A Pytorch implementation of ""Splitter: Learning Node Representations that Capture Multiple Social Contexts"" (WWW 2019).","clustering,community-detection,deep-learning,deep-neural-network,deepwalk,ego-splitting,factorization,gensim,graph-embedding,graph-neural-network,graph-representation-learning,implicit-factorization,machine-learning,network-embedding,node-embedding,node2vec,overlapping-community-detection,pytorch,word-vector,word2vec",https://github.com/benedekrozemberczki/Splitter,,GitHub,False,2019-03-17 16:08:17 UTC,2019-12-15 14:09:58 UTC,2019-12-01 21:55:34 UTC,11870.0,Python,True,True,False,33.0,,0.0,master,11.0,176126044,,MIT,1,README.md,,,LICENSE,,,,,2019-12-15 14:09:58 UTC,6,GitHub,,git,,,Splitter,benedekrozemberczki,splitter,40832764
503,17624751,y,1,,spf,clic-lab/spf,69.0,Cornell Semantic Parsing Framework,"machine-learning,natural-language-processing,semantic-parser",https://github.com/clic-lab/spf,http://yoavartzi.com/spf/,GitHub,False,2016-12-24 15:51:37 UTC,2018-08-17 00:33:18 UTC,2018-03-30 18:10:55 UTC,62667.0,Java,True,True,False,9.0,,0.0,master,11.0,77289980,,GPL-2.0,0,,,,,,,,,2016-12-24 15:51:41 UTC,6,GitHub,,git,,,spf,clic-lab,spf,17624751
504,26547758,y,1,,speakerrecognition,johnkorn/speaker_recognition,10.0,Speaker recognition and verification with deep learning,,https://github.com/johnkorn/speaker_recognition,,GitHub,False,2017-02-16 07:16:44 UTC,2018-11-18 10:33:27 UTC,2017-03-07 11:48:26 UTC,88951.0,Python,True,True,False,1.0,,1.0,master,7.0,82151385,,,2,README.md,,,,,,,,2017-07-26 06:04:54 UTC,2,GitHub,,git,,,speaker_recognition,johnkorn,speaker recognition,26547758
505,24266852,y,1,,sparse,james-bowman/sparse,31.0,Sparse matrix formats for linear algebra supporting scientific and machine learning applications,"bit-vector,blas,coo,csc,csr,dictionary-of-keys,go,golang,gonum,machine-learning,matrices,matrix,matrix-format,matrix-multiplication,scientific-computing,sparse-linear-systems,sparse-matrices,sparse-matrix,sparse-representations,vector",https://github.com/james-bowman/sparse,,GitHub,False,2017-05-16 13:54:36 UTC,2018-05-30 18:09:57 UTC,2018-05-30 18:09:55 UTC,198.0,Go,True,True,False,6.0,,0.0,master,3.0,91464295,,MIT,1,,,,,,,,,2017-05-16 16:54:58 UTC,4,GitHub,,git,,,sparse,james-bowman,sparse,24266852
507,845210,y,1,,spacy,explosion/spaCy,15161.0,💫 Industrial-strength Natural Language Processing (NLP) with Python and Cython,"ai,artificial-intelligence,big-data,cython,data-science,deep-learning,machine-learning,natural-language-processing,neural-network,neural-networks,nlp,nlp-library,python,spacy",https://github.com/explosion/spaCy,https://spacy.io/,GitHub,False,2014-07-03 15:15:40 UTC,2019-11-26 15:11:08 UTC,2019-11-26 15:10:09 UTC,165659.0,Python,True,False,False,2654.0,,154.0,master,559.0,21467110,,MIT,417,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-11-21 18:37:19 UTC,15,GitHub,,git,,,spaCy,explosion,spacy,845210
509,3177597,y,1,,som,leobispo/som,5.0,"SOM - Self organizing Map is a Swing application that implements the Self organizing map algorithm.  Self-organizing map (SOM) is a type of artificial neural network that is trained using unsupervised learning to produce low-dimensional representation of the training samples while preserving the topological properties of the input space. Self-Organizing Map showing US Congress voting patterns visualized in Synapse Self-Organizing Map showing US Congress voting patterns visualized in Synapse  This makes SOM useful for visualizing low-dimensional views of high-dimensional data, akin to multidimensional scaling. The model was first described as an artificial neural network by the Finnish professor Teuvo Kohonen, and is sometimes called a Kohonen map.  Like most artificial neural networks, SOMs operate in two modes: training and mapping. Training builds the map using input examples. It is a competitive process, also called vector quantization. Mapping automatically classifies a new input vector.",,https://github.com/leobispo/som,,GitHub,False,2012-04-23 06:05:01 UTC,2017-07-17 17:36:34 UTC,2012-04-23 06:21:36 UTC,284.0,Java,True,True,False,6.0,,0.0,master,2.0,4110089,,,1,README.md,,,,,,,,2017-07-17 17:36:34 UTC,3,GitHub,,,,,som,leobispo,som,3177597
510,38955173,y,1,,solaris,CosmiQ/solaris,124.0,CosmiQ Works Geospatial Machine Learning Analysis Toolkit,"computervision,deeplearning,geo,geospatial,gis,machinelearning,python",https://github.com/CosmiQ/solaris,https://solaris.readthedocs.io/,GitHub,False,2019-04-30 18:59:39 UTC,2020-01-03 21:14:51 UTC,2020-01-03 21:07:27 UTC,17839.0,Python,True,True,False,26.0,,49.0,master,16.0,184316081,,Apache-2.0,10,README.md,CHANGELOG.md,CONTRIBUTING.md,LICENSE.txt,,,,,2020-01-03 21:14:51 UTC,8,GitHub,,git,,,solaris,CosmiQ,solaris,38955173
